"train/global_step","[benchmark_diff32]GSPO - _step","[benchmark_diff32]GSPO - _step__MIN","[benchmark_diff32]GSPO - _step__MAX","[benchmark_diff32]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]GRPO - _step","[benchmark_diff32]GRPO - _step__MIN","[benchmark_diff32]GRPO - _step__MAX","[benchmark_diff32]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]dr_GRPO - _step","[benchmark_diff32]dr_GRPO - _step__MIN","[benchmark_diff32]dr_GRPO - _step__MAX","[benchmark_diff32]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]GEPO - _step","[benchmark_diff32]GEPO - _step__MIN","[benchmark_diff32]GEPO - _step__MAX","[benchmark_diff32]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX"
"704","41370","41370","41370","0.7294146825396826","0.7294146825396826","0.7294146825396826","41370","41370","41370","0.6964285714285714","0.6964285714285714","0.6964285714285714","41370","41370","41370","0.6872519841269841","0.6872519841269841","0.6872519841269841","41370","41370","41370","0.7720734126984127","0.7720734126984127","0.7720734126984127"
"768","45131","45131","45131","0.7589285714285714","0.7589285714285714","0.7589285714285714","45131","45131","45131","0.7041170634920635","0.7041170634920635","0.7041170634920635","45131","45131","45131","0.6892361111111112","0.6892361111111112","0.6892361111111112","45131","45131","45131","0.7728174603174603","0.7728174603174603","0.7728174603174603"
"832","48892","48892","48892","0.7638888888888888","0.7638888888888888","0.7638888888888888","48892","48892","48892","0.7083333333333334","0.7083333333333334","0.7083333333333334","48892","48892","48892","0.6969246031746031","0.6969246031746031","0.6969246031746031","48892","48892","48892","0.7891865079365079","0.7891865079365079","0.7891865079365079"
"896","52653","52653","52653","0.7663690476190477","0.7663690476190477","0.7663690476190477","52653","52653","52653","0.7197420634920635","0.7197420634920635","0.7197420634920635","52653","52653","52653","0.7135416666666666","0.7135416666666666","0.7135416666666666","52653","52653","52653","0.7807539682539683","0.7807539682539683","0.7807539682539683"
"960","56414","56414","56414","0.7822420634920635","0.7822420634920635","0.7822420634920635","56414","56414","56414","0.7274305555555556","0.7274305555555556","0.7274305555555556","56414","56414","56414","0.7150297619047619","0.7150297619047619","0.7150297619047619","56414","56414","56414","0.7891865079365079","0.7891865079365079","0.7891865079365079"
"1024","60175","60175","60175","0.7797619047619048","0.7797619047619048","0.7797619047619048","60175","60175","60175","0.732390873015873","0.732390873015873","0.732390873015873","60175","60175","60175","0.722718253968254","0.722718253968254","0.722718253968254","60175","60175","60175","0.7879464285714286","0.7879464285714286","0.7879464285714286"
"1088","63936","63936","63936","0.767609126984127","0.767609126984127","0.767609126984127","63936","63936","63936","0.7341269841269841","0.7341269841269841","0.7341269841269841","63936","63936","63936","0.7336309523809523","0.7336309523809523","0.7336309523809523","63936","63936","63936","0.7891865079365079","0.7891865079365079","0.7891865079365079"
"1152","67697","67697","67697","0.7437996031746031","0.7437996031746031","0.7437996031746031","67697","67697","67697","0.7331349206349206","0.7331349206349206","0.7331349206349206","67697","67697","67697","0.7358630952380952","0.7358630952380952","0.7358630952380952","67697","67697","67697","0.792906746031746","0.792906746031746","0.792906746031746"
"1216","71458","71458","71458","0.5555555555555556","0.5555555555555556","0.5555555555555556","71458","71458","71458","0.7393353174603174","0.7393353174603174","0.7393353174603174","71458","71458","71458","0.7358630952380952","0.7358630952380952","0.7358630952380952","71458","71458","71458","0.7926587301587301","0.7926587301587301","0.7926587301587301"
"1280","","","","","","","75219","75219","75219","0.7487599206349206","0.7487599206349206","0.7487599206349206","75219","75219","75219","0.7390873015873016","0.7390873015873016","0.7390873015873016","75219","75219","75219","0.7953869047619048","0.7953869047619048","0.7953869047619048"
