"train/global_step","[benchmark]BNPO - _step","[benchmark]BNPO - _step__MIN","[benchmark]BNPO - _step__MAX","[benchmark]BNPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark]BNPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]BNPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]dr_GRPO - _step","[benchmark]dr_GRPO - _step__MIN","[benchmark]dr_GRPO - _step__MAX","[benchmark]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GSPO - _step","[benchmark]GSPO - _step__MIN","[benchmark]GSPO - _step__MAX","[benchmark]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GEPO - _step","[benchmark]GEPO - _step__MIN","[benchmark]GEPO - _step__MAX","[benchmark]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GRPO - _step","[benchmark]GRPO - _step__MIN","[benchmark]GRPO - _step__MAX","[benchmark]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX"
"640","25281","25281","25281","0","0","0","25281","25281","25281","0.040674603174603176","0.040674603174603176","0.040674603174603176","25281","25281","25281","0.7921626984126984","0.7921626984126984","0.7921626984126984","25281","25281","25281","0.7879464285714286","0.7879464285714286","0.7879464285714286","25281","25281","25281","0.7896825396825397","0.7896825396825397","0.7896825396825397"
"704","27748","27748","27748","0.000496031746031746","0.000496031746031746","0.000496031746031746","27748","27748","27748","0","0","0","27748","27748","27748","0.7936507936507936","0.7936507936507936","0.7936507936507936","27748","27748","27748","0.7934027777777778","0.7934027777777778","0.7934027777777778","27748","27748","27748","0.7904265873015873","0.7904265873015873","0.7904265873015873"
"768","30215","30215","30215","0.30158730158730157","0.30158730158730157","0.30158730158730157","30215","30215","30215","0","0","0","30215","30215","30215","0.7899305555555556","0.7899305555555556","0.7899305555555556","30215","30215","30215","0.7943948412698413","0.7943948412698413","0.7943948412698413","30215","30215","30215","0.7983630952380952","0.7983630952380952","0.7983630952380952"
"832","32682","32682","32682","0.001984126984126984","0.001984126984126984","0.001984126984126984","32682","32682","32682","0.005456349206349206","0.005456349206349206","0.005456349206349206","32682","32682","32682","0.7740575396825397","0.7740575396825397","0.7740575396825397","32682","32682","32682","0.7958829365079365","0.7958829365079365","0.7958829365079365","32682","32682","32682","0.7904265873015873","0.7904265873015873","0.7904265873015873"
"896","35149","35149","35149","0.000248015873015873","0.000248015873015873","0.000248015873015873","35149","35149","35149","0.2829861111111111","0.2829861111111111","0.2829861111111111","35149","35149","35149","0.6778273809523809","0.6778273809523809","0.6778273809523809","35149","35149","35149","0.8013392857142857","0.8013392857142857","0.8013392857142857","35149","35149","35149","0.7879464285714286","0.7879464285714286","0.7879464285714286"
"960","37616","37616","37616","0","0","0","37616","37616","37616","0.18898809523809523","0.18898809523809523","0.18898809523809523","37616","37616","37616","0.5607638888888888","0.5607638888888888","0.5607638888888888","37616","37616","37616","0.8030753968253969","0.8030753968253969","0.8030753968253969","37616","37616","37616","0.7748015873015873","0.7748015873015873","0.7748015873015873"
"1024","40083","40083","40083","0","0","0","40083","40083","40083","0.2958829365079365","0.2958829365079365","0.2958829365079365","40083","40083","40083","0.5964781746031746","0.5964781746031746","0.5964781746031746","40083","40083","40083","0.8028273809523809","0.8028273809523809","0.8028273809523809","40083","40083","40083","0.3055555555555556","0.3055555555555556","0.3055555555555556"
"1088","42550","42550","42550","0.000248015873015873","0.000248015873015873","0.000248015873015873","42550","42550","42550","0.33482142857142855","0.33482142857142855","0.33482142857142855","42550","42550","42550","0.626984126984127","0.626984126984127","0.626984126984127","42550","42550","42550","0.7953869047619048","0.7953869047619048","0.7953869047619048","42550","42550","42550","0.4367559523809524","0.4367559523809524","0.4367559523809524"
"1152","45017","45017","45017","0.000744047619047619","0.000744047619047619","0.000744047619047619","45017","45017","45017","0.3350694444444444","0.3350694444444444","0.3350694444444444","45017","45017","45017","0.6212797619047619","0.6212797619047619","0.6212797619047619","45017","45017","45017","0.8043154761904762","0.8043154761904762","0.8043154761904762","45017","45017","45017","0.48214285714285715","0.48214285714285715","0.48214285714285715"
"1216","47484","47484","47484","0","0","0","47484","47484","47484","0.32762896825396826","0.32762896825396826","0.32762896825396826","47484","47484","47484","0.5885416666666666","0.5885416666666666","0.5885416666666666","47484","47484","47484","0.7951388888888888","0.7951388888888888","0.7951388888888888","47484","47484","47484","0.5602678571428571","0.5602678571428571","0.5602678571428571"
"1280","49951","49951","49951","0","0","0","49951","49951","49951","0.35887896825396826","0.35887896825396826","0.35887896825396826","49951","49951","49951","0.621031746031746","0.621031746031746","0.621031746031746","49951","49951","49951","0.78125","0.78125","0.78125","49951","49951","49951","0.49677579365079366","0.49677579365079366","0.49677579365079366"
