"train/global_step","[benchmark]BNPO - _step","[benchmark]BNPO - _step__MIN","[benchmark]BNPO - _step__MAX","[benchmark]BNPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark]BNPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]BNPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]dr_GRPO - _step","[benchmark]dr_GRPO - _step__MIN","[benchmark]dr_GRPO - _step__MAX","[benchmark]dr_GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark]dr_GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]dr_GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GSPO - _step","[benchmark]GSPO - _step__MIN","[benchmark]GSPO - _step__MAX","[benchmark]GSPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark]GSPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GSPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GEPO - _step","[benchmark]GEPO - _step__MIN","[benchmark]GEPO - _step__MAX","[benchmark]GEPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark]GEPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GEPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GRPO - _step","[benchmark]GRPO - _step__MIN","[benchmark]GRPO - _step__MAX","[benchmark]GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean","[benchmark]GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GRPO - eval/eval_aime_2025_rewards/accuracy_reward_lv35/mean__MAX"
"640","24902","24902","24902","0","0","0","24902","24902","24902","0","0","0","24902","24902","24902","0.18359375","0.18359375","0.18359375","24902","24902","24902","0.203125","0.203125","0.203125","24902","24902","24902","0.19921875","0.19921875","0.19921875"
"704","27369","27369","27369","0","0","0","27369","27369","27369","0","0","0","27369","27369","27369","0.1796875","0.1796875","0.1796875","27369","27369","27369","0.19140625","0.19140625","0.19140625","27369","27369","27369","0.16796875","0.16796875","0.16796875"
"768","29836","29836","29836","0.015625","0.015625","0.015625","29836","29836","29836","0","0","0","29836","29836","29836","0.17578125","0.17578125","0.17578125","29836","29836","29836","0.16796875","0.16796875","0.16796875","29836","29836","29836","0.171875","0.171875","0.171875"
"832","32303","32303","32303","0","0","0","32303","32303","32303","0.00390625","0.00390625","0.00390625","32303","32303","32303","0.1796875","0.1796875","0.1796875","32303","32303","32303","0.19921875","0.19921875","0.19921875","32303","32303","32303","0.19140625","0.19140625","0.19140625"
"896","34770","34770","34770","0","0","0","34770","34770","34770","0","0","0","34770","34770","34770","0.06640625","0.06640625","0.06640625","34770","34770","34770","0.19140625","0.19140625","0.19140625","34770","34770","34770","0.16796875","0.16796875","0.16796875"
"960","37237","37237","37237","0","0","0","37237","37237","37237","0","0","0","37237","37237","37237","0.046875","0.046875","0.046875","37237","37237","37237","0.171875","0.171875","0.171875","37237","37237","37237","0.16015625","0.16015625","0.16015625"
"1024","39704","39704","39704","0","0","0","39704","39704","39704","0","0","0","39704","39704","39704","0.01953125","0.01953125","0.01953125","39704","39704","39704","0.19140625","0.19140625","0.19140625","39704","39704","39704","0","0","0"
"1088","42171","42171","42171","0","0","0","42171","42171","42171","0.01171875","0.01171875","0.01171875","42171","42171","42171","0.01953125","0.01953125","0.01953125","42171","42171","42171","0.19140625","0.19140625","0.19140625","42171","42171","42171","0.015625","0.015625","0.015625"
"1152","44638","44638","44638","0","0","0","44638","44638","44638","0.00390625","0.00390625","0.00390625","44638","44638","44638","0.0390625","0.0390625","0.0390625","44638","44638","44638","0.16796875","0.16796875","0.16796875","44638","44638","44638","0.01953125","0.01953125","0.01953125"
"1216","47105","47105","47105","0","0","0","47105","47105","47105","0.015625","0.015625","0.015625","47105","47105","47105","0.01171875","0.01171875","0.01171875","47105","47105","47105","0.16015625","0.16015625","0.16015625","47105","47105","47105","0.02734375","0.02734375","0.02734375"
"1280","49572","49572","49572","0","0","0","49572","49572","49572","0.01953125","0.01953125","0.01953125","49572","49572","49572","0.04296875","0.04296875","0.04296875","49572","49572","49572","0.140625","0.140625","0.140625","49572","49572","49572","0.0234375","0.0234375","0.0234375"
